ra dec no1 no2 no3 no4 no5 no6 no7 no8 no9 no10 no11 dist no12 Pcol
357.591 2.05966 4.46604 -11.859 -16.0156 1.79771 -4.84783 23.554 -0.990762 -0.847827 -232.8 -19.281 194.272 23.59 185.746 0
0.503152 4.36157 2.83555 -15.2112 -15.9282 1.13568 -6.24214 23.7208 0.208313 -1.80928 -235.007 -4.61421 224.537 23.7906 167.362 0
311.524 3.86877 350.317 32.1408 -12.1604 -3.26946 12.2128 15.1837 -17.1479 -1.5489 224.66 -73.5197 257.426 22.9563 -40.0972 3
354.601 1.24323 4.57037 -8.76233 -15.7448 1.81823 -3.51708 22.9798 -2.17173 -0.500928 -193.299 -59.1311 218.04 23.0876 152.563 0
179.181 -0.519547 186.38 13.0442 25.8445 -2.10688 4.39291 -19.4605 0.278334 0.176487 158.688 14.1717 -127.942 19.4633 123.225 4
358.176 2.91487 3.75101 -12.6233 -15.9787 1.50657 -5.1574 23.5568 -0.750203 -1.20007 -221.107 -11.5192 235.06 23.5993 163.195 0
70.4255 4.59782 61.9419 -79.6277 -1.26624 15.5101 -96.0241 32.6005 91.6816 -7.82526 -60.4169 -16.6962 70.7578 97.6194 -67.1378 3
358.371 0.31441 6.38729 -12.2089 -15.7127 2.54263 -4.94524 23.3745 -0.664809 -0.12832 -233.755 -41.1684 228.395 23.3843 174.273 0
201.211 -1.65347 191.187 34.665 49.966 -8.49733 30.2873 -49.6217 -19.2578 1.53649 154.632 -5.46391 -27.8219 53.2497 109.814 3
58.5913 0.927525 38.5301 -68.7799 -6.28951 10.583 -43.7551 24.4578 40.0547 -0.75981 -65.0466 18.1425 -0.274446 46.9376 22.7642 4
0.701206 -0.230141 7.50298 -14.3415 -16.1913 3.05453 -5.98072 24.1429 0.295484 0.096983 -217.007 -74.7638 201.474 24.1449 149.08 0
316.993 0.910618 355.436 27.7871 -31.0268 -3.03537 20.1025 31.5289 -29.4088 -0.685305 -49.2544 -36.153 148.785 43.121 115.343 1
172.079 -4.75628 180.537 7.11233 73.3003 -0.620828 8.27289 -65.9512 9.17595 5.54026 -7.59005 15.4626 -89.0204 66.8166 -18.697 2
309.96 -2.26242 356.838 35.4089 -30.4968 -2.07144 26.6975 29.5699 -35.2906 1.81896 -2.90082 -25.2861 121.907 46.0773 74.1311 1
214.136 -2.03013 195.555 47.1657 33.9562 -7.50314 30.1795 -34.0427 -23.0795 1.4579 207.865 13.445 -6.40614 41.1545 128.998 3
287.717 -0.508623 344.021 55.9269 -15.3443 -6.39844 34.3647 12.625 -39.5177 0.368282 95.5308 -2.62451 27.8954 41.4871 -27.9421 1
359.004 1.4993 5.35942 -13.1029 -17.5026 2.29875 -5.72846 25.2564 -0.439016 -0.661154 -235.124 -21.1597 205.345 25.2689 179.525 0
165.378 -3.28134 180.44 0.26763 78.7516 -0.551023 0.335163 -69.3159 18.084 4.1071 -75.729 20.1634 -80.3492 71.7537 -76.2561 1
18.0522 -16.6497 29.8523 -25.4245 -29.4894 20.9424 -19.9997 42.4343 13.8305 13.3473 -37.2256 -12.1472 94.4245 46.5844 -16.84 4
358.674 -0.0169142 6.79035 -12.4242 -17.1982 2.88142 -5.36885 24.9476 -0.577665 0.0073667 -235.071 -48.0868 181.849 24.9543 183.279 0
359.349 1.77285 5.1683 -13.5013 -15.1747 2.00576 -5.34614 22.8864 -0.260219 -0.708424 -229.883 -57.0748 205.797 22.8989 169.575 0
276.697 -2.24423 336.947 66.5651 -2.19132 -3.91177 23.0466 2.92722 -24.9281 0.983624 264.958 12.3612 132.698 25.1186 22.866 4
358.651 1.43278 5.34143 -12.7442 -16.3974 2.18765 -5.31507 24.0796 -0.56696 -0.602444 -236.204 -42.0886 219.86 24.0938 177.062 0
259.877 11.0191 283.119 65.2031 5.17758 -7.82314 17.3871 -3.30429 -18.5072 -3.66082 111.81 58.7409 -218.788 19.1529 -233.252 2
356.069 1.79426 4.37154 -10.3177 -16.5302 1.79885 -4.29631 23.9194 -1.6435 -0.751066 -218.268 -47.8554 224.02 23.9875 170.402 0
357.769 -0.651442 7.19891 -11.3939 -16.232 2.93453 -4.71916 23.8685 -0.929998 0.271598 -202.145 -63.1605 220.012 23.8881 145.376 0
